Name	Package	Protection
com.android.browser.permission.READ_HISTORY_BOOKMARKS	android	
android.permission.GET_INTENT_SENDER_INTENT	android	2
com.google.android.gms.presencemanager.permission.PRESENCE_MANAGER_UPDATE_BROADCAST	com.google.android.gms	2
android.permission.CONTROL_OEM_PAID_NETWORK_PREFERENCE	android	2
com.google.android.gms.nearby.exposurenotification.EXPOSURE_CALLBACK	com.google.android.gms	2
com.android.chrome.permission.CHILD_SERVICE	com.android.chrome	2
android.permission.BIND_CARRIER_MESSAGING_CLIENT_SERVICE	android	2
com.google.android.gms.permission.PHENOTYPE_OVERRIDE_FLAGS	com.google.android.gms	2
com.android.vending.BILLING	com.android.vending	4096
com.google.android.apps.gcs.permission.BROADCAST_NETWORK_SCORES	com.google.android.apps.gcs	2
